CNTY_NAME,MCD_NAME,STR_WARDS,CTV,Dallet,total,dallet_pct
brown,pulaski,0006,v,60.75,114.25,0.5317286652078774
brown,suamico,0005,v,220,451,0.4878048780487805
brown,depere,0004,c,181.66666666666666,298.3333333333333,0.6089385474860335
brown,depere,0003,c,112.5,170,0.6617647058823529
brown,depere,0009,c,87,146,0.5958904109589042
brown,depere,0013,c,135,243,0.5555555555555556
brown,depere,0016,c,1,3,0.3333333333333333
brown,greenbay,0001,c,1,4,0.25
brown,greenbay,0002,c,274,422,0.6492890995260664
brown,greenbay,0003,c,246,412,0.5970873786407767
brown,greenbay,0004,c,289,509,0.5677799607072691
brown,greenbay,0005,c,152,259,0.5868725868725869
brown,greenbay,0006,c,324,591,0.5482233502538071
brown,greenbay,0007,c,159,287,0.554006968641115
brown,greenbay,0008,c,358,588,0.608843537414966
brown,greenbay,0009,c,66,104,0.6346153846153846
brown,greenbay,0010,c,128,221,0.579185520361991
brown,greenbay,0011,c,110,197,0.5583756345177665
brown,greenbay,0012,c,95,167,0.5688622754491018
brown,greenbay,0013,c,105,156,0.6730769230769231
brown,greenbay,0014,c,103,168,0.6130952380952381
brown,greenbay,0015,c,300,438,0.684931506849315
brown,greenbay,0016,c,303,420,0.7214285714285714
brown,greenbay,0017,c,151,229,0.6593886462882096
brown,greenbay,0018,c,187,303,0.6171617161716172
brown,greenbay,0019,c,75,123,0.6097560975609756
brown,greenbay,0020,c,104,159,0.6540880503144654
brown,greenbay,0021,c,79,117,0.6752136752136753
brown,greenbay,0022,c,59,87,0.6781609195402298
brown,greenbay,0023,c,102,149,0.6845637583892618
brown,greenbay,0024,c,147,225,0.6533333333333333
brown,greenbay,0025,c,155,224,0.6919642857142857
brown,greenbay,0026,c,174,227,0.7665198237885462
brown,greenbay,0027,c,35,45,0.7777777777777778
brown,greenbay,0028,c,137,189,0.7248677248677249
brown,greenbay,0029,c,237,380,0.6236842105263158
brown,greenbay,0030,c,286,398,0.7185929648241206
brown,greenbay,0031,c,229,374,0.6122994652406417
brown,greenbay,0032,c,160,266,0.6015037593984962
brown,greenbay,0033,c,127,199,0.6381909547738693
brown,greenbay,0034,c,245,415,0.5903614457831325
brown,greenbay,0035,c,163,293,0.5563139931740614
brown,greenbay,0036,c,57,104,0.5480769230769231
brown,greenbay,0037,c,116,199,0.5829145728643216
brown,greenbay,0038,c,238,339,0.7020648967551623
brown,greenbay,0039,c,228,372,0.6129032258064516
brown,greenbay,0040,c,161,270,0.5962962962962963
brown,greenbay,0041,c,92,166,0.5542168674698795
brown,greenbay,0042,c,72,136,0.5294117647058824
brown,greenbay,0043,c,180,298,0.6040268456375839
brown,greenbay,0044,c,252,472,0.5338983050847458
brown,greenbay,0045,c,293,617,0.47487844408427876
brown,greenbay,0046,c,237,357,0.6638655462184874
brown,greenbay,0047,c,294,559,0.5259391771019678
buffalo,alma,0001,t,52,91,0.5714285714285714
buffalo,belvidere,0001,t,47,113,0.415929203539823
buffalo,buffalo,0001,t,45,91,0.4945054945054945
buffalo,canton,0001,t,35,64,0.546875
buffalo,cross,0001,t,28,60,0.4666666666666667
buffalo,dover,0001,t,43,72,0.5972222222222222
buffalo,gilmanton,0001,t,34,71,0.4788732394366197
buffalo,glencoe,0001,t,56,147,0.38095238095238093
buffalo,lincoln,0001,t,28,63,0.4444444444444444
buffalo,maxville,0001,t,32,75,0.4266666666666667
buffalo,milton,0001,t,67,120,0.5583333333333333
buffalo,modena,0001,t,42,92,0.45652173913043476
buffalo,mondovi,0001,t,54,117,0.46153846153846156
buffalo,montana,0001,t,26,59,0.4406779661016949
buffalo,naples,0001,t,56,146,0.3835616438356164
